week,region,store_id,product_category,promotion_flag,forecast_units,actual_units,stockout_hours,unit_price_dkk,ending_inventory
1,Sjælland,Store_20,Produce,1,97,85,0,18.83,12
1,Sjælland,Store_20,Bakery,1,133,114,0,27.53,19
1,Sjælland,Store_20,Frozen,1,136,131,0,13.2,5
1,Sjælland,Store_20,Dry Goods,0,171,145,0,29.41,26
1,Sjælland,Store_21,Dairy,0,107,55,0,34.41,52
1,Sjælland,Store_21,Meat,1,108,117,14,37.33,0
1,Sjælland,Store_21,Produce,1,161,228,3,12.48,0
1,Sjælland,Store_21,Bakery,1,188,106,0,14.95,82
1,Sjælland,Store_21,Frozen,1,197,211,23,34.87,0
1,Sjælland,Store_21,Dry Goods,1,112,81,0,24.06,31
1,Sjælland,Store_22,Dairy,0,191,201,0,26.03,0
1,Sjælland,Store_22,Meat,1,82,72,0,26.66,10
1,Sjælland,Store_22,Produce,1,116,97,0,17.23,19
1,Sjælland,Store_22,Bakery,0,80,107,0,38.62,0
1,Sjælland,Store_22,Frozen,1,141,152,3,20.74,0
1,Sjælland,Store_22,Dry Goods,0,105,117,0,24.94,0
1,Sjælland,Store_23,Dairy,1,129,134,6,12.65,0
1,Sjælland,Store_23,Meat,1,96,123,17,24.4,0
1,Sjælland,Store_23,Produce,1,180,247,20,37.09,0
1,Sjælland,Store_23,Bakery,1,177,215,7,28.24,0
1,Sjælland,Store_23,Frozen,1,158,192,21,26.42,0
1,Sjælland,Store_23,Dry Goods,1,158,152,0,21.9,6
1,Jylland,Store_24,Dairy,1,84,79,0,35.26,5
1,Jylland,Store_24,Meat,1,163,220,6,39.4,0
1,Jylland,Store_24,Produce,1,156,170,12,12.28,0
1,Jylland,Store_24,Bakery,0,134,88,0,27.54,46
1,Jylland,Store_24,Frozen,1,95,68,0,20.37,27
1,Jylland,Store_24,Dry Goods,1,146,163,19,28.06,0
1,Sjælland,Store_25,Dairy,1,161,128,0,12.66,33
1,Sjælland,Store_25,Meat,0,184,158,0,20.68,26
1,Sjælland,Store_25,Produce,1,128,190,10,12.77,0
1,Sjælland,Store_25,Bakery,1,165,166,16,25.35,0
1,Sjælland,Store_25,Frozen,0,127,123,0,34.19,4
1,Sjælland,Store_25,Dry Goods,1,131,123,0,16.28,8
2,Sjælland,Store_01,Dairy,1,169,177,3,32.42,0
2,Sjælland,Store_01,Meat,0,135,188,0,13.99,0
2,Sjælland,Store_01,Produce,1,102,180,14,36.02,0
2,Sjælland,Store_01,Bakery,0,194,248,0,17.27,0
2,Sjælland,Store_01,Frozen,0,180,191,0,35.22,0
2,Sjælland,Store_01,Dry Goods,0,123,83,0,17.0,40
2,Sjælland,Store_02,Dairy,1,89,88,0,12.61,1
2,Sjælland,Store_02,Meat,1,113,154,16,32.36,0
2,Sjælland,Store_02,Produce,1,162,100,0,36.99,62
2,Sjælland,Store_02,Bakery,1,138,98,0,20.68,40
2,Sjælland,Store_02,Frozen,1,180,152,0,24.63,28
2,Sjælland,Store_02,Dry Goods,1,141,96,0,18.55,45
2,Sjælland,Store_03,Dairy,1,198,206,12,35.97,0
2,Sjælland,Store_03,Meat,1,192,235,7,30.06,0
2,Sjælland,Store_03,Produce,1,158,89,0,35.16,69
2,Sjælland,Store_03,Bakery,0,105,173,0,19.71,0
2,Sjælland,Store_03,Frozen,1,176,185,2,28.32,0
2,Sjælland,Store_03,Dry Goods,0,116,165,0,25.18,0
2,Jylland,Store_04,Dairy,0,82,78,0,14.03,4
2,Jylland,Store_04,Meat,0,123,110,0,16.05,13
2,Jylland,Store_04,Produce,1,163,197,18,13.5,0
2,Jylland,Store_04,Bakery,1,117,83,0,22.36,34
2,Jylland,Store_04,Frozen,0,128,142,0,22.26,0
2,Jylland,Store_04,Dry Goods,1,154,178,10,16.15,0
2,Sjælland,Store_05,Dairy,1,143,184,9,34.84,0
2,Sjælland,Store_05,Meat,1,139,147,4,14.93,0
2,Sjælland,Store_05,Produce,1,157,70,0,36.32,87
2,Sjælland,Store_05,Bakery,0,119,129,0,23.56,0
2,Sjælland,Store_05,Frozen,1,111,59,0,32.43,52
2,Sjælland,Store_05,Dry Goods,1,104,94,0,20.66,10
2,Sjælland,Store_06,Dairy,1,132,139,20,22.95,0
2,Sjælland,Store_06,Meat,0,130,155,0,20.05,0
2,Sjælland,Store_06,Produce,0,94,93,0,32.24,1
2,Sjælland,Store_06,Bakery,1,108,136,7,32.57,0
2,Sjælland,Store_06,Frozen,1,106,146,11,20.26,0
2,Sjælland,Store_06,Dry Goods,1,110,121,16,35.39,0
2,Sjælland,Store_07,Dairy,0,108,80,0,22.27,28
2,Sjælland,Store_07,Meat,1,106,184,20,30.82,0
2,Sjælland,Store_07,Produce,1,122,158,11,20.28,0
2,Sjælland,Store_07,Bakery,0,102,111,0,23.86,0
2,Sjælland,Store_07,Frozen,1,91,84,0,31.78,7
2,Sjælland,Store_07,Dry Goods,1,187,166,0,26.95,21
2,Jylland,Store_08,Dairy,1,151,196,10,22.72,0
2,Jylland,Store_08,Meat,1,119,139,10,37.77,0
2,Jylland,Store_08,Produce,1,125,105,0,15.59,20
2,Jylland,Store_08,Bakery,1,80,70,0,36.1,10
2,Jylland,Store_08,Frozen,1,119,71,0,32.33,48
2,Jylland,Store_08,Dry Goods,0,136,184,0,10.14,0
2,Sjælland,Store_09,Dairy,0,104,63,0,37.55,41
2,Sjælland,Store_09,Meat,1,138,41,0,23.57,97
2,Sjælland,Store_09,Produce,0,103,72,0,11.02,31
2,Sjælland,Store_09,Bakery,0,108,115,0,27.42,0
2,Sjælland,Store_09,Frozen,1,107,109,18,38.83,0
2,Sjælland,Store_09,Dry Goods,0,197,123,0,35.82,74
2,Sjælland,Store_10,Dairy,0,150,124,0,32.5,26
2,Sjælland,Store_10,Meat,0,162,168,0,20.48,0
2,Sjælland,Store_10,Produce,1,128,126,0,26.95,2
2,Sjælland,Store_10,Bakery,0,157,135,0,31.42,22
2,Sjælland,Store_10,Frozen,1,197,94,0,26.79,103
2,Sjælland,Store_10,Dry Goods,0,80,55,0,20.03,25
2,Sjælland,Store_11,Dairy,1,89,107,2,10.76,0
2,Sjælland,Store_11,Meat,0,129,86,0,36.01,43
2,Sjælland,Store_11,Produce,1,136,112,0,30.16,24
2,Sjælland,Store_11,Bakery,0,133,108,0,20.18,25
2,Sjælland,Store_11,Frozen,1,130,90,0,12.98,40
2,Sjælland,Store_11,Dry Goods,0,157,184,0,28.1,0
2,Jylland,Store_12,Dairy,1,195,142,0,18.79,53
2,Jylland,Store_12,Meat,1,86,99,11,12.57,0
2,Jylland,Store_12,Produce,0,98,131,0,37.32,0
2,Jylland,Store_12,Bakery,1,90,111,11,34.75,0
2,Jylland,Store_12,Frozen,0,198,235,0,22.28,0
2,Jylland,Store_12,Dry Goods,1,177,114,0,35.83,63
2,Sjælland,Store_13,Dairy,1,187,232,18,24.54,0
2,Sjælland,Store_13,Meat,1,88,87,0,26.25,1
2,Sjælland,Store_13,Produce,1,182,210,15,39.53,0
2,Sjælland,Store_13,Bakery,1,188,131,0,30.74,57
2,Sjælland,Store_13,Frozen,1,149,88,0,26.63,61
2,Sjælland,Store_13,Dry Goods,1,155,176,22,10.33,0
2,Sjælland,Store_14,Dairy,1,85,65,0,28.99,20
2,Sjælland,Store_14,Meat,1,89,107,14,35.14,0
2,Sjælland,Store_14,Produce,1,141,118,0,14.99,23
2,Sjælland,Store_14,Bakery,1,130,130,0,12.71,0
2,Sjælland,Store_14,Frozen,1,108,66,0,20.67,42
2,Sjælland,Store_14,Dry Goods,1,118,94,0,28.31,24
2,Jylland,Store_15,Dairy,0,103,105,0,16.45,0
2,Jylland,Store_15,Meat,0,99,103,0,14.86,0
2,Jylland,Store_15,Produce,1,160,262,3,28.7,0
2,Jylland,Store_15,Bakery,1,152,148,0,12.25,4
2,Jylland,Store_15,Frozen,1,168,200,8,12.28,0
2,Jylland,Store_15,Dry Goods,0,187,261,0,30.84,0
2,Sjælland,Store_16,Dairy,1,98,122,18,14.1,0
2,Sjælland,Store_16,Meat,1,134,114,0,25.64,20
2,Sjælland,Store_16,Produce,0,159,174,0,34.2,0
2,Sjælland,Store_16,Bakery,1,197,227,17,35.48,0
2,Sjælland,Store_16,Frozen,0,168,224,0,11.55,0
2,Sjælland,Store_16,Dry Goods,1,111,139,11,27.65,0
2,Jylland,Store_17,Dairy,1,165,120,0,37.73,45
2,Jylland,Store_17,Meat,1,166,209,19,32.35,0
2,Jylland,Store_17,Produce,0,178,219,0,11.11,0
2,Jylland,Store_17,Bakery,1,178,155,0,26.82,23
2,Jylland,Store_17,Frozen,1,82,60,0,31.74,22
2,Jylland,Store_17,Dry Goods,0,94,124,0,34.12,0
2,Sjælland,Store_18,Dairy,1,92,111,11,36.3,0
2,Sjælland,Store_18,Meat,1,178,190,11,39.71,0
2,Sjælland,Store_18,Produce,0,92,108,0,33.96,0
2,Sjælland,Store_18,Bakery,1,195,197,18,22.06,0
2,Sjælland,Store_18,Frozen,1,136,81,0,21.95,55
2,Sjælland,Store_18,Dry Goods,0,182,207,0,25.68,0
2,Jylland,Store_19,Dairy,0,124,82,0,18.89,42
2,Jylland,Store_19,Meat,0,104,80,0,18.32,24
2,Jylland,Store_19,Produce,1,158,81,0,30.39,77
2,Jylland,Store_19,Bakery,0,116,80,0,33.59,36
2,Jylland,Store_19,Frozen,0,149,179,0,39.68,0
2,Jylland,Store_19,Dry Goods,1,83,87,9,38.28,0
2,Jylland,Store_20,Dairy,1,188,168,0,38.72,20
2,Jylland,Store_20,Meat,1,84,81,0,11.74,3
2,Jylland,Store_20,Produce,1,128,208,18,15.22,0
2,Jylland,Store_20,Bakery,0,129,144,0,24.74,0
2,Jylland,Store_20,Frozen,1,82,70,0,16.71,12
2,Jylland,Store_20,Dry Goods,1,152,176,5,27.4,0
2,Sjælland,Store_21,Dairy,1,146,139,0,11.33,7
2,Sjælland,Store_21,Meat,1,121,67,0,34.29,54
2,Sjælland,Store_21,Produce,1,84,64,0,17.58,20
2,Sjælland,Store_21,Bakery,0,84,104,0,11.46,0
2,Sjælland,Store_21,Frozen,1,116,136,6,39.74,0
2,Sjælland,Store_21,Dry Goods,0,124,91,0,24.42,33
2,Jylland,Store_22,Dairy,1,135,153,14,18.01,0
2,Jylland,Store_22,Meat,1,98,147,17,29.75,0
2,Jylland,Store_22,Produce,1,138,121,0,17.16,17
2,Jylland,Store_22,Bakery,1,179,136,0,28.56,43
2,Jylland,Store_22,Frozen,1,86,108,11,13.87,0
2,Jylland,Store_22,Dry Goods,0,109,106,0,37.26,3
2,Sjælland,Store_23,Dairy,1,156,147,0,18.61,9
2,Sjælland,Store_23,Meat,1,192,192,0,26.8,0
2,Sjælland,Store_23,Produce,0,177,205,0,33.4,0
2,Sjælland,Store_23,Bakery,0,109,167,0,10.55,0
2,Sjælland,Store_23,Frozen,1,177,230,6,13.08,0
2,Sjælland,Store_23,Dry Goods,1,175,111,0,33.13,64
2,Jylland,Store_24,Dairy,0,91,94,0,20.38,0
2,Jylland,Store_24,Meat,1,161,132,0,36.15,29
2,Jylland,Store_24,Produce,1,108,162,21,32.75,0
2,Jylland,Store_24,Bakery,0,90,73,0,34.65,17
2,Jylland,Store_24,Frozen,0,111,131,0,23.38,0
2,Jylland,Store_24,Dry Goods,0,108,137,0,38.33,0
2,Sjælland,Store_25,Dairy,1,94,109,21,35.2,0
2,Sjælland,Store_25,Meat,1,163,203,23,13.94,0
2,Sjælland,Store_25,Produce,1,187,100,0,19.62,87
2,Sjælland,Store_25,Bakery,1,113,96,0,16.39,17
2,Sjælland,Store_25,Frozen,0,104,117,0,24.15,0
2,Sjælland,Store_25,Dry Goods,1,139,198,15,16.11,0
3,Sjælland,Store_01,Dairy,0,106,118,0,28.79,0
3,Sjælland,Store_01,Meat,0,132,152,0,37.36,0
3,Sjælland,Store_01,Produce,1,99,96,0,13.52,3
3,Sjælland,Store_01,Bakery,0,187,254,0,17.43,0
3,Sjælland,Store_01,Frozen,1,127,103,0,27.46,24
3,Sjælland,Store_01,Dry Goods,0,167,166,0,23.0,1
3,Jylland,Store_02,Dairy,0,100,95,0,24.4,5
3,Jylland,Store_02,Meat,1,111,91,0,29.71,20
3,Jylland,Store_02,Produce,1,181,192,20,13.15,0
3,Jylland,Store_02,Bakery,0,125,139,0,14.27,0
3,Jylland,Store_02,Frozen,1,165,139,0,33.27,26
3,Jylland,Store_02,Dry Goods,1,176,125,0,25.53,51
3,Sjælland,Store_03,Dairy,0,112,98,0,19.66,14
3,Sjælland,Store_03,Meat,1,169,214,15,30.8,0
3,Sjælland,Store_03,Produce,1,185,249,7,27.84,0
3,Sjælland,Store_03,Bakery,1,174,214,10,31.27,0
3,Sjælland,Store_03,Frozen,1,129,169,16,34.44,0
3,Sjælland,Store_03,Dry Goods,0,163,185,0,26.59,0
3,Jylland,Store_04,Dairy,1,82,116,13,17.41,0
3,Jylland,Store_04,Meat,0,124,109,0,28.47,15
3,Jylland,Store_04,Produce,0,189,140,0,33.69,49
3,Jylland,Store_04,Bakery,1,130,112,0,14.85,18
3,Jylland,Store_04,Frozen,0,162,163,0,15.99,0
3,Jylland,Store_04,Dry Goods,1,172,177,23,10.92,0
3,Sjælland,Store_05,Dairy,1,173,169,0,35.39,4
3,Sjælland,Store_05,Meat,1,171,192,13,33.03,0
3,Sjælland,Store_05,Produce,1,129,136,5,10.88,0
3,Sjælland,Store_05,Bakery,0,179,225,0,36.2,0
3,Sjælland,Store_05,Frozen,1,85,66,0,21.52,19
3,Sjælland,Store_05,Dry Goods,1,100,65,0,31.99,35
3,Sjælland,Store_06,Dairy,1,191,270,15,39.14,0
3,Sjælland,Store_06,Meat,0,148,195,0,12.07,0
3,Sjælland,Store_06,Produce,1,197,189,0,25.44,8
3,Sjælland,Store_06,Bakery,0,81,102,0,12.86,0
3,Sjælland,Store_06,Frozen,1,168,113,0,33.2,55
3,Sjælland,Store_06,Dry Goods,0,124,159,0,17.11,0
3,Sjælland,Store_07,Dairy,1,197,200,11,30.08,0
3,Sjælland,Store_07,Meat,0,84,57,0,17.46,27
3,Sjælland,Store_07,Produce,1,80,65,0,21.38,15
3,Sjælland,Store_07,Bakery,1,126,84,0,29.91,42
3,Sjælland,Store_07,Frozen,1,192,169,0,35.93,23
3,Sjælland,Store_07,Dry Goods,1,140,202,21,18.09,0
3,Sjælland,Store_08,Dairy,1,99,102,4,23.57,0
3,Sjælland,Store_08,Meat,1,148,130,0,13.1,18
3,Sjælland,Store_08,Produce,1,91,94,8,23.64,0
3,Sjælland,Store_08,Bakery,1,129,143,13,25.97,0
3,Sjælland,Store_08,Frozen,0,124,101,0,15.65,23
3,Sjælland,Store_08,Dry Goods,1,108,121,7,36.04,0
3,Sjælland,Store_09,Dairy,1,134,132,0,10.53,2
3,Sjælland,Store_09,Meat,0,105,110,0,36.07,0
3,Sjælland,Store_09,Produce,1,155,162,5,30.3,0
3,Sjælland,Store_09,Bakery,0,159,148,0,34.81,11
3,Sjælland,Store_09,Frozen,1,184,197,19,28.15,0
3,Sjælland,Store_09,Dry Goods,0,112,90,0,22.21,22
3,Jylland,Store_10,Dairy,1,156,132,0,29.52,24
3,Jylland,Store_10,Meat,1,83,76,0,30.03,7
3,Jylland,Store_10,Produce,1,161,146,0,36.07,15
3,Jylland,Store_10,Bakery,0,133,158,0,29.47,0
3,Jylland,Store_10,Frozen,0,144,97,0,30.86,47
3,Jylland,Store_10,Dry Goods,0,168,98,0,27.89,70
3,Sjælland,Store_11,Dairy,1,181,188,15,29.28,0
3,Sjælland,Store_11,Meat,1,88,72,0,21.39,16
3,Sjælland,Store_11,Produce,1,127,129,16,26.01,0
3,Sjælland,Store_11,Bakery,1,127,89,0,26.48,38
3,Sjælland,Store_11,Frozen,1,187,222,5,37.81,0
3,Sjælland,Store_11,Dry Goods,0,100,107,0,24.38,0
3,Sjælland,Store_12,Dairy,0,147,115,0,19.22,32
3,Sjælland,Store_12,Meat,1,114,85,0,27.43,29
3,Sjælland,Store_12,Produce,0,109,82,0,22.41,27
3,Sjælland,Store_12,Bakery,0,154,190,0,13.7,0
3,Sjælland,Store_12,Frozen,1,118,172,18,27.02,0
3,Sjælland,Store_12,Dry Goods,0,115,121,0,22.74,0
3,Sjælland,Store_13,Dairy,1,123,126,14,28.05,0
3,Sjælland,Store_13,Meat,1,165,147,0,27.81,18
3,Sjælland,Store_13,Produce,1,94,61,0,35.2,33
3,Sjælland,Store_13,Bakery,1,159,228,18,17.11,0
3,Sjælland,Store_13,Frozen,1,129,151,8,30.03,0
3,Sjælland,Store_13,Dry Goods,0,115,128,0,14.49,0
3,Sjælland,Store_14,Dairy,0,128,148,0,16.5,0
3,Sjælland,Store_14,Meat,0,127,140,0,19.37,0
3,Sjælland,Store_14,Produce,0,150,92,0,21.73,58
3,Sjælland,Store_14,Bakery,1,104,110,3,18.24,0
3,Sjælland,Store_14,Frozen,1,97,62,0,31.53,35
3,Sjælland,Store_14,Dry Goods,1,182,94,0,20.23,88
3,Jylland,Store_15,Dairy,1,181,107,0,12.38,74
3,Jylland,Store_15,Meat,0,176,200,0,27.87,0
3,Jylland,Store_15,Produce,1,176,147,0,12.08,29
3,Jylland,Store_15,Bakery,1,81,56,0,30.09,25
3,Jylland,Store_15,Frozen,0,111,139,0,29.53,0
3,Jylland,Store_15,Dry Goods,1,137,140,4,15.71,0
3,Sjælland,Store_16,Dairy,0,181,256,0,23.96,0
3,Sjælland,Store_16,Meat,0,123,135,0,12.66,0
3,Sjælland,Store_16,Produce,1,172,129,0,26.07,43
3,Sjælland,Store_16,Bakery,0,134,155,0,32.68,0
3,Sjælland,Store_16,Frozen,0,91,90,0,21.48,1
3,Sjælland,Store_16,Dry Goods,0,194,212,0,14.57,0
3,Jylland,Store_17,Dairy,1,187,223,21,28.71,0
3,Jylland,Store_17,Meat,0,182,129,0,35.94,53
3,Jylland,Store_17,Produce,1,155,182,15,13.53,0
3,Jylland,Store_17,Bakery,0,188,232,0,20.8,0
3,Jylland,Store_17,Frozen,0,170,172,0,34.76,0
3,Jylland,Store_17,Dry Goods,0,105,62,0,28.02,43
3,Sjælland,Store_18,Dairy,1,122,173,21,16.26,0
3,Sjælland,Store_18,Meat,1,121,178,7,34.52,0
3,Sjælland,Store_18,Produce,0,167,241,0,14.24,0
3,Sjælland,Store_18,Bakery,0,93,99,0,12.43,0
3,Sjælland,Store_18,Frozen,1,145,129,0,38.72,16
3,Sjælland,Store_18,Dry Goods,1,89,76,0,34.67,13
3,Sjælland,Store_19,Dairy,1,115,85,0,36.95,30
3,Sjælland,Store_19,Meat,1,131,140,4,38.58,0
3,Sjælland,Store_19,Produce,1,92,77,0,10.77,15
3,Sjælland,Store_19,Bakery,0,147,140,0,12.4,7
3,Sjælland,Store_19,Frozen,1,175,203,21,23.19,0
3,Sjælland,Store_19,Dry Goods,0,85,88,0,10.01,0
3,Sjælland,Store_20,Dairy,1,102,96,0,11.74,6
3,Sjælland,Store_20,Meat,1,110,150,16,39.51,0
3,Sjælland,Store_20,Produce,0,178,143,0,30.75,35
3,Sjælland,Store_20,Bakery,1,83,71,0,39.9,12
3,Sjælland,Store_20,Frozen,1,182,155,0,29.67,27
3,Sjælland,Store_20,Dry Goods,1,129,112,0,13.92,17
3,Jylland,Store_21,Dairy,1,178,125,0,34.83,53
3,Jylland,Store_21,Meat,1,165,90,0,38.91,75
3,Jylland,Store_21,Produce,0,141,127,0,17.79,14
3,Jylland,Store_21,Bakery,1,137,136,0,15.69,1
3,Jylland,Store_21,Frozen,1,92,91,0,13.29,1
3,Jylland,Store_21,Dry Goods,1,142,162,22,35.33,0
3,Sjælland,Store_22,Dairy,1,147,132,0,29.55,15
3,Sjælland,Store_22,Meat,1,172,195,21,35.79,0
3,Sjælland,Store_22,Produce,0,121,100,0,30.64,21
3,Sjælland,Store_22,Bakery,1,108,136,2,35.23,0
3,Sjælland,Store_22,Frozen,0,139,159,0,24.86,0
3,Sjælland,Store_22,Dry Goods,0,165,185,0,29.1,0
3,Jylland,Store_23,Dairy,0,167,165,0,11.43,2
3,Jylland,Store_23,Meat,0,166,176,0,31.49,0
3,Jylland,Store_23,Produce,0,103,40,0,23.86,63
3,Jylland,Store_23,Bakery,1,131,137,16,38.27,0
3,Jylland,Store_23,Frozen,1,130,168,11,10.63,0
3,Jylland,Store_23,Dry Goods,0,171,201,0,36.97,0
3,Jylland,Store_24,Dairy,0,152,104,0,13.64,48
